day,period,room,reason
1,15,all,HASS
1,15.5,all,HASS
1,16,all,HASS
1,16.5,all,HASS
1,17,all,HASS
1,17.5,all,HASS
3,13,all,Fifth Row
3,13.5,all,Fifth Row
3,14,all,Fifth Row
3,14.5,all,Fifth Row
3,15,all,Fifth Row
3,15.5,all,Fifth Row
3,16,all,Fifth Row
3,16.5,all,Fifth Row
3,17,all,Fifth Row
3,17.5,all,Fifth Row
4,15,all,HASS
4,15.5,all,HASS
4,16,all,HASS
4,16.5,all,HASS
4,17,all,HASS
4,17.5,all,HASS
5,13,all,HASS
5,13.5,all,HASS
5,14,all,HASS
5,14.5,all,HASS
5,15,all,HASS
5,15.5,all,HASS
5,16,all,HASS
5,16.5,all,HASS
5,17,all,HASS
5,17.5,all,HASS
